Modelo,Semilla,Mejor época,Macro F1 validación,Tiempo entrenamiento (s),Parámetros totales,Parámetros entrenables,Exactitud prueba,Macro F1 prueba,F1 ponderado prueba
MLP,42,6.0,0.7480919661340688,15.305373084003804,1347462,1347462,0.8011077542799597,0.7288096436277613,0.7992130733799089
Transformer sinusoidal,42,5.0,0.8493993560541243,39.581485375005286,1693830,1693830,0.8600201409869084,0.8235604547412142,0.8618931100193391
Transformer posiciones aprendibles,42,5.0,0.8443099938762018,38.914227957997355,1702022,1702022,0.8595166163141994,0.8188543696585674,0.8600896540403205
DistilBERT base congelada,42,2.0,0.40751782439368034,154.1607563340076,66958086,595206,0.5886203423967774,0.4044154163527789,0.552340810427075
DistilBERT ajuste fino,42,2.0,0.9095898134285303,708.6473505000031,66958086,66958086,0.9234642497482377,0.880095593084556,0.9235937890685557
